"TIME","D3(A)"
10,24.2139
10.01,23.9728
10.02333333,23.6548
10.05,23.0313
10.08333333,24.7562
10.11666667,33.1887
10.15,40.1916
10.18220763,45.2821
10.21554096,48.5865
10.24887429,49.7636
10.28220763,49.0656
10.31554096,47.7713
10.34887429,46.311
10.38220763,44.8283
10.41554096,43.3706
10.44887429,41.9528
10.48220763,40.5788
10.51554096,39.2489
10.54887429,37.9623
10.58220763,36.7177
10.61554096,35.5137
10.64887429,34.349
10.68220763,33.2223
10.71554096,32.1323
10.74887429,31.0778
10.78220763,30.0578
10.81554096,29.071
10.84887429,28.1164
10.88220763,27.193
10.91554096,26.2998
10.94887429,25.4359
10.98220763,24.6003
11.01554096,23.7922
11.04887429,23.0106
11.08220763,24.4516
11.11554096,32.9261
11.14887429,39.9826
11.18039512,45.0435
11.21372845,48.4607
11.24706179,49.7555
11.28039512,49.096
11.31372845,47.8137
11.34706179,46.3563
11.38039512,44.8736
11.41372845,43.4149
11.44706179,41.9958
11.48039512,40.6205
11.51372845,39.2893
11.54706179,38.0013
11.58039512,36.7554
11.61372845,35.5502
11.64706179,34.3843
11.68039512,33.2564
11.71372845,32.1654
11.74706179,31.1099
11.78039512,30.0888
11.81372845,29.101
11.84706179,28.1454
11.88039512,27.2211
11.91372845,26.327
11.94706179,25.4621
11.98039512,24.6257
12.01372845,23.8167
12.04706179,23.0343
12.08039512,23.9589
12.11372845,32.4911
12.14706179,39.6455
12.17750227,44.6496
12.2108356,48.2476
12.24416894,49.729
12.27750227,49.1311
12.3108356,47.8681
12.34416894,46.4159
12.37750227,44.9335
12.4108356,43.4736
12.44416894,42.0529
12.47750227,40.6757
12.5108356,39.3428
12.54416894,38.0531
12.57750227,36.8055
12.6108356,35.5986
12.64416894,34.4312
12.67750227,33.3018
12.7108356,32.2092
12.74416894,31.1523
12.77750227,30.1298
12.8108356,29.1407
12.84416894,28.1839
12.87750227,27.2583
12.9108356,26.363
12.94416894,25.497
12.97750227,24.6593

